food_resource_type,agency,location,operational_status,who_they_serve,address,latitude,longitude,phone_number,website,days_hours,date_updated,days_count,serves_youth,serves_seniors,serves_general,serves_restricted,has_weekend,city
Food Bank,Algona/Pacific Food Pantry,Algona/Pacific Food Pantry - Food Distribution Center,Open,General Public,"603 3rd Ave SE, Pacific, WA 98047",47.265011,-122.236771,(253)-351-0450,https://networks.whyhunger.org/organisation/41599,Tuesday,7/22/2025,1,False,False,True,False,False,Pacific
Food Bank & Meal,Asian Counseling and Referral Service (ACRS),ACRS Food Bank and Meals,Open,General Public,"800 S Weller St, Seattle, WA 98004",47.5843633,-122.3303783,(206)-695-7510,https://acrs.org/services/aging-services-for-older-adults/acrs-food-bank/,"Wednesday, Friday",8/7/2025,2,False,False,True,False,False,Seattle
Meal,Asian Counseling and Referral Service (ACRS),Club Bamboo and Hmong Senior Club,Open,Older Adults 60+ and Eligible Participants,"3639 Martin Luther King Jr Way S, Seattle, WA 98144",47.570897,-122.2973881,(206)-695-7510,https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Monday, Tuesday, Wednesday, Thursday, Friday",8/7/2025,5,False,True,False,False,False,Seattle
Meal,Asian Counseling and Referral Service (ACRS),Duoc Su Senior Nutrition Program,Open,Older Adults 60+ and Eligible Participants,"6924 42nd Ave S , Seattle, WA 98118",47.5400001,-122.2803173,(206)-695-7510,https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,Saturday,7/21/2025,1,False,True,False,False,True,Seattle
Meal,Asian Counseling and Referral Service (ACRS),Filipino Community of Seattle,Open,Older Adults 60+ and Eligible Participants,"5740 Martin Luther King Jr Way S, Seattle, WA 98118",47.5500465,-122.2871358,(206)-695-7510,https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Monday, Tuesday, Thursday, Friday",7/21/2025,4,False,True,False,False,False,Seattle
Meal,Atrium Kitchen,Atrium Kitchen,Open,Older Adults 60+ and Eligible Participants,"93 Pike St, Suite 101, Seattle, WA 98101",47.608632,-122.3401409,(206)-829-9525,https://www.atriumkitchenpikeplace.com/,Thursday,8/12/2025,1,False,True,False,False,False,Seattle
Food Bank,Auburn Food Bank,Auburn Food Bank,Open,General Public,"2804 Auburn Way N, Auburn, WA 98002",47.332001,-122.2211517,(253)-833-8925,https://www.theauburnfoodbank.org/food,"Monday, Tuesday, Thursday, Friday",8/7/2025,4,False,False,True,False,False,Auburn
Meal,Aurora Commons,Aurora Commons,Open,General Public,"8914 Aurora Ave N, Seattle, WA 98103",47.6938816,-122.3442384,(206)-299-2278,https://www.auroracommons.org/,"Monday, Tuesday, Wednesday, Thursday",8/12/2025,4,False,False,True,False,False,Seattle
Food Bank,Ballard Food Bank,Ballard Food Bank,Open,General Public,"1400 Leary Way NW, Seattle, WA 98107",47.66404713,-122.3740701,(206)-789-7800,https://www.ballardfoodbank.org/,"Monday, Tuesday, Wednesday, Thursday",8/12/2025,4,False,False,True,False,False,Seattle
Food Bank & Meal,Bethany Community Church,Bethany Food Bank at Green Lake,Open,General Public,"8023 Green Lake Dr N, Seattle, WA 98103",47.6873209,-122.3411453,(206)-524-9000,https://www.churchbcc.org/missions/localmissions,Monday,7/22/2025,1,False,False,True,False,False,Seattle
Food Bank & Meal,Blessed Sacrament,First United Methodist Church of Seattle,Open,General Public,"5050 8th Ave NE, Seattle, WA 98105",47.6664368,-122.3190289,(206)-547-3020,https://www.blessed-sacrament.org/outreach,"Sunday, Friday",8/12/2025,2,False,False,True,False,True,Seattle
Meal,Bread of Life Mission,Bread of Life Mission,Open,General Public,"97 S Main St, Seattle, WA 98104",47.5999268,-122.334605,(206)-682-3579,https://www.breadoflifemission.org/emergency-services,"Monday, Tuesday, Wednesday, Thursday, Friday",8/7/2025,5,False,False,True,False,False,Seattle
